Country,Discipline,Event,Count
Spain,Basketball,,8
Nigeria,Basketball,,7
United States of America,Basketball,,7
Venezuela,Basketball,,6
Chile,Football,,5
United States of America,Baseball/Softball,Softball,5
Canada,Baseball/Softball,Softball,4
Spain,Artistic Swimming,,4
Japan,Football,,4
Japan,Artistic Swimming,,4
C�te d'Ivoire,Football,,4
Egypt,Football,,4
Dominican Republic,Basketball,,4
Mexico,Baseball/Softball,Softball,3
Japan,Basketball,,3
Venezuela,Volleyball,,3
ROC,Volleyball,,3
Spain,Football,,3
United States of America,Volleyball,,3
India,Hockey,Men,3
Australia,Baseball/Softball,Softball,3
Australia,Basketball,,3
Netherlands,Hockey,,3
Japan,Baseball/Softball,Softball,3
Italy,Artistic Swimming,,3
South Africa,Hockey,Women,3
South Africa,Football,,3
Japan,Volleyball,,3
Spain,Artistic Swimming,Team,2
Spain,Artistic Swimming,Duet,2
Slovenia,Basketball,,2
Egypt,Artistic Swimming,,2
Egypt,Artistic Swimming,Duet,2
Egypt,Artistic Swimming,Team,2
Italy,Baseball/Softball,Softball,2
Italy,Artistic Swimming,Team,2
Italy,Artistic Swimming,Duet,2
France,Basketball,,2
People's Republic of China,Volleyball,,2
San Marino,Artistic Swimming,,2
Poland,Volleyball,,2
India,Hockey,Women,2
Puerto Rico,Basketball,,2
Germany,Hockey,Men,2
Germany,Hockey,Women,2
Great Britain,Artistic Swimming,Duet,2
ROC,Artistic Swimming,Duet,2
Greece,Artistic Swimming,Team,2
Greece,Artistic Swimming,Duet,2
Canada,Hockey,Men,2
Canada,Artistic Swimming,Team,2
Mexico,Artistic Swimming,Duet,2
Argentina,Volleyball,,2
Kenya,Volleyball,,2
Japan,Hockey,Women,2
New Zealand,Hockey,Men,2
United States of America,Football,,2
Belgium,Basketball,,2
Ukraine,Artistic Swimming,,2
Austria,Artistic Swimming,,2
Australia,Hockey,Women,2
Australia,Hockey,Men,2
Australia,Hockey,,2
Montenegro,Handball,Women,1
Montenegro,Water Polo,Men,1
ROC,Artistic Swimming,Team,1
Netherlands,Artistic Swimming,Duet,1
ROC,Artistic Swimming,,1
Netherlands,Football,Women,1
Puerto Rico,Basketball,Women,1
Netherlands,Handball,,1
Portugal,Handball,Men,1
Netherlands,Handball,Women,1
Poland,Volleyball,Men,1
Netherlands,Hockey,Men,1
People's Republic of China,Water Polo,Women,1
People's Republic of China,Volleyball,Women,1
Netherlands,Hockey,Women,1
People's Republic of China,Rugby Sevens,Women,1
People's Republic of China,Hockey,Women,1
Netherlands,Water Polo,Women,1
New Zealand,Football,Men,1
New Zealand,Football,Women,1
New Zealand,Hockey,,1
People's Republic of China,Football,Women,1
New Zealand,Hockey,Women,1
People's Republic of China,Basketball,Women,1
People's Republic of China,Basketball,,1
New Zealand,Rugby Sevens,Men,1
People's Republic of China,Artistic Swimming,Team,1
People's Republic of China,Artistic Swimming,Duet,1
New Zealand,Rugby Sevens,Women,1
Nigeria,Basketball,Men,1
People's Republic of China,Artistic Swimming,,1
Nigeria,Basketball,Women,1
Norway,Handball,,1
Norway,Handball,Men,1
Norway,Handball,Women,1
Zambia,Football,Women,1
Zambia,Football,,1
Venezuela,Volleyball,Men,1
United States of America,Water Polo,Women,1
United States of America,Water Polo,Men,1
United States of America,Volleyball,Women,1
United States of America,Volleyball,Men,1
United States of America,Rugby Sevens,Women,1
United States of America,Rugby Sevens,Men,1
United States of America,Football,Women,1
United States of America,Basketball,Women,1
United States of America,Basketball,Men,1
United States of America,Baseball/Softball,Baseball,1
United States of America,Artistic Swimming,Duet,1
Ukraine,Artistic Swimming,Team,1
Ukraine,Artistic Swimming,Duet,1
Turkey,Volleyball,Women,1
Tunisia,Volleyball,Men,1
Sweden,Handball,Women,1
Sweden,Handball,Men,1
Sweden,Football,Women,1
Spain,Water Polo,Women,1
Spain,Water Polo,Men,1
Spain,Hockey,Women,1
Spain,Hockey,Men,1
Spain,Handball,Women,1
Spain,Handball,Men,1
Spain,Football,Men,1
Spain,Basketball,Women,1
Spain,Basketball,Men,1
South Africa,Water Polo,Women,1
South Africa,Water Polo,Men,1
South Africa,Rugby Sevens,Men,1
South Africa,Hockey,Men,1
South Africa,Hockey,,1
South Africa,Football,Men,1
Slovenia,Basketball,Men,1
Slovakia,Artistic Swimming,,1
Serbia,Water Polo,Men,1
Serbia,Volleyball,Women,1
Serbia,Basketball,Women,1
Serbia,Basketball,,1
Serbia,Artistic Swimming,,1
Saudi Arabia,Football,Men,1
Saudi Arabia,Football,,1
Romania,Football,Men,1
Romania,Football,,1
Republic of Korea,Volleyball,Women,1
Republic of Korea,Rugby Sevens,Men,1
Republic of Korea,Handball,Women,1
Republic of Korea,Football,Men,1
Republic of Korea,Football,,1
Republic of Korea,Basketball,Women,1
Republic of Korea,Baseball/Softball,Baseball,1
ROC,Water Polo,Women,1
ROC,Volleyball,Women,1
ROC,Volleyball,Men,1
ROC,Rugby Sevens,Women,1
ROC,Handball,Women,1
France,Basketball,Men,1
France,Artistic Swimming,Duet,1
Fiji,Rugby Sevens,Women,1
Fiji,Rugby Sevens,Men,1
Egypt,Handball,Men,1
Egypt,Football,Men,1
Dominican Republic,Volleyball,Women,1
Dominican Republic,Baseball/Softball,Baseball,1
Denmark,Handball,Men,1
Denmark,Handball,,1
C�te d'Ivoire,Football,Men,1
Czech Republic,Basketball,Men,1
Czech Republic,Basketball,,1
Croatia,Water Polo,Men,1
Colombia,Artistic Swimming,Duet,1
Colombia,Artistic Swimming,,1
Chile,Football,Women,1
Canada,Water Polo,Women,1
Canada,Volleyball,Men,1
Canada,Rugby Sevens,Women,1
Canada,Rugby Sevens,Men,1
Canada,Football,Women,1
Canada,Basketball,Women,1
Canada,Artistic Swimming,Duet,1
Canada,Artistic Swimming,,1
Cambodia,Artistic Swimming,,1
Brazil,Volleyball,Women,1
Brazil,Volleyball,Men,1
Brazil,Rugby Sevens,Women,1
Brazil,Handball,Women,1
Brazil,Handball,Men,1
Brazil,Football,Women,1
Brazil,Football,Men,1
Belgium,Hockey,Men,1
Belgium,Hockey,,1
Belgium,Basketball,Women,1
Belarus,Artistic Swimming,Duet,1
Bahrain,Handball,Men,1
Austria,Artistic Swimming,Duet,1
Australia,Water Polo,Women,1
Australia,Water Polo,Men,1
Australia,Rugby Sevens,Women,1
Australia,Rugby Sevens,Men,1
Australia,Football,Women,1
Australia,Football,Men,1
Australia,Basketball,Women,1
Australia,Basketball,Men,1
Australia,Artistic Swimming,Team,1
Australia,Artistic Swimming,Duet,1
Argentina,Volleyball,Women,1
Argentina,Volleyball,Men,1
Argentina,Rugby Sevens,Men,1
Argentina,Hockey,Women,1
Argentina,Hockey,Men,1
Argentina,Handball,Men,1
Argentina,Football,Men,1
Argentina,Basketball,Men,1
Argentina,Artistic Swimming,,1
Angola,Handball,Women,1
Mexico,Football,Men,1
Mexico,Football,,1
Mexico,Baseball/Softball,Baseball,1
Liechtenstein,Artistic Swimming,Duet,1
Kenya,Volleyball,Women,1
Kenya,Rugby Sevens,Women,1
Kenya,Rugby Sevens,Men,1
Kazakhstan,Water Polo,Men,1
Kazakhstan,Artistic Swimming,Duet,1
Japan,Water Polo,Women,1
Japan,Water Polo,Men,1
Japan,Volleyball,Women,1
Japan,Volleyball,Men,1
Japan,Rugby Sevens,Women,1
Japan,Rugby Sevens,Men,1
Japan,Rugby Sevens,,1
Japan,Hockey,Men,1
Japan,Handball,Women,1
Japan,Handball,Men,1
Japan,Handball,,1
Japan,Football,Women,1
Japan,Football,Men,1
Japan,Basketball,Women,1
Japan,Basketball,Men,1
Japan,Baseball/Softball,Baseball,1
Italy,Water Polo,Men,1
Italy,Volleyball,Women,1
Italy,Volleyball,Men,1
Italy,Volleyball,,1
Italy,Basketball,Men,1
Israel,Baseball/Softball,Baseball,1
Israel,Artistic Swimming,Duet,1
Islamic Republic of Iran,Volleyball,Men,1
Islamic Republic of Iran,Basketball,Men,1
Ireland,Rugby Sevens,Men,1
Ireland,Hockey,Women,1
Ireland,Hockey,,1
Hungary,Water Polo,Women,1
Hungary,Water Polo,Men,1
Hungary,Handball,Women,1
Hungary,Handball,,1
Honduras,Football,Men,1
Greece,Water Polo,Men,1
Greece,Artistic Swimming,,1
Great Britain,Rugby Sevens,Women,1
Great Britain,Rugby Sevens,Men,1
Great Britain,Hockey,Women,1
Great Britain,Hockey,Men,1
Great Britain,Football,Women,1
Germany,Handball,Men,1
Germany,Football,Men,1
Germany,Football,,1
Germany,Basketball,Men,1
Germany,Basketball,,1
France,Volleyball,Men,1
France,Rugby Sevens,Women,1
France,Handball,Women,1
France,Handball,Men,1
France,Football,Men,1
France,Basketball,Women,1
